status,value,package,qty,designators,mpn,mfr,mouser_pn,availability,risk,notes
BACKORDER,250k,R_0402,1,R4,RC0402FR-07249KL,Yageo,603-RC0402FR-07249KL,"0 ships now, 1 backordered",Product has high popularity and is readily available.,250k not E96 -> sub 249k
BACKORDER,31.6k,R_0603,1,R23,RC0603FR-0731K6L,Yageo,603-RC0603FR-0731K6L,"0 ships now, 1 backordered",Product has high popularity and is readily available.,
BACKORDER,350k,R_0402,1,R5,RC0402FR-07348KL,Yageo,603-RC0402FR-07348KL,"0 ships now, 1 backordered",Product has high popularity and is readily available.,350k not E96 -> sub 348k
IN_STOCK,0.1uF,C_0402,30,"C13,C14,C15,C16,C17,C24,C25,C26,C27,C28,C31,C46,C49,C52,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C71,C74,C77,C78",CL05B104KO5NNNC,Samsung,187-CL05B104KO5NNNC,30 ships now,Product has high popularity and is readily available.,
IN_STOCK,0.1uF,C_0603,5,"C6,C36,C73,C75,C76",CL10B104KO8NNNC,Samsung,187-CL10B104KO8NNNC,5 ships now,Product has high popularity and is readily available.,
IN_STOCK,1uF,C_0603,5,"C11,C41,C42,C43,C44",CL10B105KO8NNNC,Samsung,187-CL10B105KO8NNNC,5 ships now,Product has high popularity and is readily available.,
IN_STOCK,4.7uF,C_0603,4,"C32,C33,C34,C35",CL10A475KO8NNNC,Samsung,187-CL10A475KO8NNNC,4 ships now,Product has high popularity and is readily available.,
IN_STOCK,33pF,C_0402,2,"C3,C4",CL05C330JB5NNNC,Samsung,187-CL05C330JB5NNNC,2 ships now,Product has high popularity and is readily available.,
IN_STOCK,47nF,C_0402,2,"C22,C23",CL05B473KO5NNNC,Samsung,187-CL05B473KO5NNNC,2 ships now,Product has high popularity and is readily available.,
IN_STOCK,0.22uF,C_0402,1,C45,CL05B224KO5NNNC,Samsung,187-CL05B224KO5NNNC,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,47pf,C_0603,1,C40,CL10C470JB8NNNC,Samsung,187-CL10C470JB8NNNC,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,10k,R_0603,6,"R32,R33,R34,R35,R36,R38",RC0603FR-0710KL,Yageo,603-RC0603FR-0710KL,6 ships now,Product has high popularity and is readily available.,
IN_STOCK,10,R_0402,3,"R6,R17,R18",RC0402FR-0710RL,Yageo,603-RC0402FR-0710RL,3 ships now,Product has high popularity and is readily available.,
IN_STOCK,220k,R_0402,2,"R10,R11",RC0402FR-07220KL,Yageo,603-RC0402FR-07220KL,2 ships now,Product has high popularity and is readily available.,verify 1% stock (E24 value)
IN_STOCK,4.99,R_0603,2,"R13,R14",RC0603FR-074R99L,Yageo,603-RC0603FR-074R99L,2 ships now,Product has high popularity and is readily available.,
IN_STOCK,5k,R_0603,2,"R7,R8",RC0603FR-074K99L,Yageo,603-RC0603FR-074K99L,2 ships now,Product has high popularity and is readily available.,5k not E96 -> sub 4.99k
IN_STOCK,1,R_0603,1,R15,RC0603FR-071RL,Yageo,603-RC0603FR-071RL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,10.2k,R_0603,1,R24,RC0603FR-0710K2L,Yageo,603-RC0603FR-0710K2L,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,100k,R_0603,1,R31,RC0603FR-07100KL,Yageo,603-RC0603FR-07100KL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,10k,R_0402,1,R2,RC0402FR-0710KL,Yageo,603-RC0402FR-0710KL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,16.9k,R_0603,1,R22,RC0603FR-0716K9L,Yageo,603-RC0603FR-0716K9L,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,243k,R_0603,1,R19,RC0603FR-07243KL,Yageo,603-RC0603FR-07243KL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,30k,R_0402,1,R1,RC0402FR-0730KL,Yageo,603-RC0402FR-0730KL,1 ships now,Product has high popularity and is readily available.,verify 1% stock (E24 value)
IN_STOCK,365k,R_0603,1,R20,RC0603FR-07365KL,Yageo,603-RC0603FR-07365KL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,383k,R_0402,1,R9,RC0402FR-07383KL,Yageo,603-RC0402FR-07383KL,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,40.2k,R_0402,1,R3,RC0402FR-0740K2L,Yageo,603-RC0402FR-0740K2L,1 ships now,Product has high popularity and is readily available.,
IN_STOCK,88.7k,R_0603,1,R21,RC0603FR-0788K7L,Yageo,603-RC0603FR-0788K7L,1 ships now,Product has high popularity and is readily available.,
